,category,start,length
0,C2,143,143.0
1,C1,395,102.0
2,P,735,90.0
3,C2,1057,231.0
4,B,1997,709.0
5,C2,1997,298.0
6,C1,2323,95.0
7,B,2774,356.0
8,C1,2774,558.0
9,P,3373,1646.0
10,B,5949,742.0
11,C1,5949,193.0
12,P,6175,116.0
13,C2,6426,199.0
14,P,6819,567.0
15,C1,7578,95.0
16,C2,7814,116.0
17,P,7962,501.0
18,C1,8755,299.0
19,P,9130,518.0
20,B,10116,468.0
21,P,10116,9626.0
22,B,21438,1696.0
23,C1,21438,9175.0
24,B,35179,4454.0
25,C1,35179,13830.0
26,B,57308,8299.0
27,C2,57308,6529.0
28,B,64440,603.0
29,C2,64440,8475.0
30,B,80814,7899.0
31,C1,80814,11644.0
32,B,93031,573.0
33,C2,93031,487.0
34,B,98333,4815.0
35,C1,98333,272.0
36,B,98967,362.0
37,C1,98967,15134.0
38,B,121058,6755.0
39,C1,121058,9343.0
40,B,134086,3587.0
41,C1,134086,8615.0
42,B,153907,11126.0
43,C2,153907,284.0
44,B,164671,10454.0
45,C1,164671,35915.0
46,B,204937,3665.0
47,C1,204937,491.0
48,C2,205507,186.0
49,C1,205719,247.0
50,P,206017,297.0
51,B,209837,3523.0
52,P,209837,194.0
53,C2,210188,6070.0
54,C1,216528,160.0
55,P,216711,207.0
56,B,227653,10735.0
57,C1,227653,18805.0
58,B,253123,6563.0
59,C1,253123,8443.0
60,C2,261751,287.0
