,start,end,length,delta_x,delta_y,original_angle,angle,interval
0,108,183,75,-3.166814387305834,-0.021565560085903712,0.39017015996318966,33.74092251078979,108
1,209,291,82,-3.1635228770690844,-1.487300172720552,25.180116903311692,42.51095485066255,26
2,306,419,113,-1.9443684267167214,-0.2884582469743293,8.438608234141855,9.080183184312146,15
3,440,584,144,-5.751840001995845,-1.9608049187768017,18.824267135533304,6.46330672410497,21
4,602,732,130,-9.8477445298561,-1.6275685909416353,9.384624694456239,2.691655820074189,18
5,743,805,62,-13.063138003375315,-6.504262055727537,26.469155038866987,21.903683439384306,11
6,821,881,60,-8.188958891560247,-3.025705961184599,20.278567400778226,15.202427133627287,16
7,1258,1447,189,-21.07697249205586,1.9672967528134393,-5.3324624750310035,-24.527560799781877,377
8,1467,1586,119,-10.063446369790071,-0.647811315149994,3.6832026694144684,20.97832486912784,20
9,1607,1710,103,-9.168598289388171,0.40455681680647615,-2.526490092290207,-2.293972869891243,21
10,1794,1879,85,-10.742858924851106,-1.666345351681258,8.816994338961276,10.158310474249685,84
11,1900,1983,83,-9.984019335258438,-5.9229717576155565,30.678334546176583,19.89434117746475,21
12,2517,2590,73,-10.506852125790118,-2.762670544054714,14.731880454428213,9.410152750990466,534
13,2707,2774,67,-3.0636806718418796,2.8451503677459726,-42.881956673122154,-28.59585176884326,117
14,2794,2864,70,-7.31604695163,-7.17128643822376,44.42750745013622,40.587916331078105,20
15,2888,2990,102,-8.2748852670438,-9.351562419165589,48.49545782778883,14.214993829526023,24
16,3011,3234,223,-17.004841771773215,-6.681991398258049,21.45216661316341,22.466332067127336,21
17,4088,4196,108,-0.7386298624380743,1.6198736755423226,-65.48796684273123,-42.254190995673895,854
18,4221,4405,184,-5.462812721724902,2.00523533921789,-20.156677582535433,31.067622844644966,25
19,4422,4505,83,-13.95705407350789,-2.4860637303494997,10.099736368195805,15.614675617693097,17
20,4530,4705,175,-11.128121415608945,-4.595004872928769,22.436625730554717,18.46070155990422,25
21,6991,7089,98,-0.9190908762669494,-1.0640383506781603,49.18033121602031,-68.44446560870529,2286
22,7109,7309,200,-0.12734854819711927,-0.6031051934048861,78.07686584865537,69.75150135989134,20
23,7434,7657,223,-7.920432915178765,-2.081196535615092,14.722399172872146,16.264576721589805,125
24,8166,8277,111,-2.8941204800631226,-1.7566366501207824,31.25638389095579,26.448425564568684,509
25,8368,8548,180,-6.363565274654832,1.4633100101460172,-12.95011353884112,3.728194719558276,91
26,8657,8724,67,-4.216241065724006,-1.8469383706393785,23.655981673121417,47.4291365761118,109
27,8822,8982,160,-6.289107221016252,1.3061061340210784,-11.732271423545498,-1.4296457781285477,98
28,9263,9401,138,-2.4436330185023962,-2.824099530135797,49.13106355998659,47.969020605432554,281
29,9541,9656,115,-2.0741369530694413,0.6262873366830775,-16.801733390147668,-59.89792531848558,140
30,10094,10192,98,-3.448535753767487,-0.7122269382463031,11.669241480002766,37.49914371945164,438
31,10204,10309,105,-5.487863521146252,-5.450144732977691,44.80242117633636,52.31409777684868,12
32,10519,10612,93,-1.4364443137232428,-2.991633983385256,64.35183437003546,44.54674780764741,210
33,10633,10758,125,-4.88843949772064,-2.7088389188350988,28.992222964703128,23.202208060182873,21
34,10787,10850,63,-4.086715259830996,-2.68394059612838,33.29481305215961,41.31105592417496,29
35,10953,11140,187,-5.00929717999017,-4.764251865896313,43.56376415818926,53.23495893736047,103
36,11161,11665,504,-12.810944029038325,-2.581822645179173,11.394340763428175,2.8077938417633668,21
37,11707,14717,3010,-14.46307064819699,-4.736569301379134,18.133312539148804,18.200709608611547,42
38,14780,14871,91,-2.542445647474395,-0.5980776440338929,13.237426581893267,8.45047514214882,63
39,14899,15010,111,-5.937900916680945,-4.378380787742159,36.403642247338105,51.86211214647769,28
40,15031,15177,146,-14.116911599561888,-7.4206167622353405,27.728858031038815,28.99322919014592,21
41,15212,15305,93,-8.66190092724409,-1.1563317895694354,7.603817799102966,3.3765943517199655,35
42,15434,15638,204,-7.4257593401058415,-1.9373282090051163,14.622128089826855,19.7823773220293,129
43,15661,18933,3272,-21.685033574999878,-1.5337676509964808,4.045753947723312,-1.8547511449135776,23
44,18986,19156,170,-4.909499540142846,-1.4718000095873407,16.688003032437,16.067760352095572,53
45,19182,19288,106,-5.615736760478825,-3.634064615186645,32.90777858864293,34.28115545244709,26
46,19315,19410,95,-6.488981370275212,-3.9226970153903977,31.153658790209867,13.368882065633457,27
47,19443,19574,131,-5.005987458725286,-2.365493968824808,25.292277215768703,19.592156338795384,33
48,19598,20040,442,-13.707677350640466,-3.9197147499657774,15.95789832480532,13.788013744799954,24
49,22730,22884,154,-3.003347397322301,-1.9900528159814002,33.52891670821856,49.6708234038123,2690
50,22907,23070,163,-6.797059865147361,-2.8724503733481015,22.909011437811056,18.447777330814546,23
51,23096,23228,132,-8.334742684164894,-4.399335868163021,27.826483011410772,25.59575950685412,26
52,23256,23410,154,-7.5910865730321575,-1.1763990017753088,8.809115723956715,6.130099576274607,28
53,23920,24199,279,-1.3309940704394592,-2.2043655594230813,58.87645599358984,41.17756220841349,510
54,24478,24592,114,1.97731595576289,1.1156413115740804,29.43256273611546,70.95613682408103,279
55,24682,24785,103,-1.3639924402916392,-0.37497399478769466,15.371411494399855,54.509908438452776,90
56,25211,25342,131,0.2692267829622921,-1.5823716151319616,-80.34408569499536,67.01547408262427,426
57,25578,25644,66,-3.5339087915260023,-2.0456438736392215,30.064899439934052,44.36206356879554,236
58,25835,25928,93,-3.737542523989873,-1.9650969148006254,27.734157324677685,8.005512247196949,191
59,26362,26582,220,-1.7385851981873657,-4.170841275715915,67.371536250634,69.75408697059123,434
60,26614,26798,184,-3.6977027928080446,-2.8768241478943963,37.88302585618994,49.53579787039826,32
61,26816,26918,102,-8.432604634248634,-4.941775674567637,30.37166500840047,10.289006229039567,18
62,28113,28703,590,-5.9728541088855565,-1.5973015086515687,14.972072677240986,10.584154343902112,1195
63,28828,33318,4490,-18.665356805343336,-1.8883115479845145,5.776767546495713,5.195166744525518,125
64,33610,33665,55,-2.4287560823739938,-3.807054007979687,57.46366870653094,80.14379632365063,292
65,33683,35150,1467,-10.43838003077633,-1.371947607158944,7.487637651612457,1.0163634765831593,18
66,35198,37608,2410,-9.152624011041752,-0.4059327123586485,2.539490210029027,-5.95688837676622,48
67,37678,40542,2864,-11.515913674486441,-0.5701783924608463,2.8345262175542425,-1.650159673552704,70
68,40630,42394,1764,-4.099799957767857,0.4015654388578156,-5.594138306672973,-9.482926356597872,88
69,42475,43963,1488,-6.320971117984001,-5.372673359389992,40.363736208312204,28.15635172578544,81
70,45470,50251,4781,-13.960510620540518,-0.846777894008099,3.471035777081101,-0.7951229678918668,1507
71,50313,52512,2199,-6.7932619587869,-1.9959475661088675,16.373465130955452,15.676094417245928,62
72,52585,53766,1181,-3.7368791245863093,-0.8771048649052346,13.20912318572821,26.41379676237344,73
73,54210,54411,201,-2.62583926824027,-2.1218215725885727,38.94010480893767,17.666186522618165,444
74,54675,54843,168,0.4977415999722581,-2.7881906950560023,-79.87830748159902,-77.63617590973965,264
75,55297,55426,129,-2.086251839414615,-3.236958330235595,57.19781710452822,89.71491123162775,454
76,55525,55656,131,-0.9562326467749926,-1.076252057417804,48.37942495379822,-36.35451226827086,99
77,55762,55842,80,-2.3938018486461203,-3.2028843647322702,53.22595095646489,16.86111128453397,106
78,55928,56006,78,-1.6938905558422732,1.739760995846737,-45.765373611015846,-37.17326540739588,86
79,56088,56171,83,-0.017165042734959002,0.7596421649660385,-88.70555214685001,67.67373210204038,82
80,57461,60367,2906,-11.838483733845209,-2.7253029496795165,12.964033516183052,6.39076431988801,1290
81,60439,60600,161,-1.905660597159681,-1.0428411863255178,28.688952744290024,42.16537911297855,72
82,60623,60826,203,-4.1526430302339605,-2.471274219827521,30.75724727675314,40.22438080402149,23
83,63194,67356,4162,-8.318900044172949,-3.0286054137304177,20.00470357886644,13.086373946558437,2368
