,category,start,length
0,B,327,327.0
1,C,327,138.0
2,B,852,387.0
3,P,852,1012.0
4,C,2455,281.0
5,P,2788,860.0
6,B,4169,415.0
7,P,4169,3942.0
8,C,8379,303.0
9,P,8737,159.0
10,C,8915,73.0
11,P,9009,401.0
12,C,9448,292.0
13,P,9800,1139.0
14,B,11831,340.0
15,P,11831,508.0
16,B,14745,2378.0
17,P,14745,6719.0
18,C,21753,7857.0
19,P,29747,4672.0
20,C,34603,509.0
21,P,35170,345.0
22,B,39371,3856.0
23,C,39371,6838.0
24,B,51458,5207.0
25,C,51458,34706.0
26,B,87927,1029.0
27,C,87927,5762.0
28,B,94040,351.0
29,P,94040,3982.0
30,B,99142,1120.0
31,C,99142,871.0
32,P,100119,7971.0
33,C,108383,20146.0
34,B,129151,622.0
35,C,129151,16577.0
36,P,145897,464.0
37,B,153592,7231.0
38,C,153592,175.0
39,P,153782,213.0
40,B,154301,306.0
41,P,154301,726.0
42,B,155661,451.0
43,P,155661,123.0
44,C,155817,9404.0
45,B,172996,7563.0
46,C,172996,5204.0
47,B,182682,4482.0
48,C,182682,124.0
49,P,182822,114.0
50,C,182962,718.0
51,B,184633,785.0
52,C,184633,611.0
53,P,185403,2839.0
54,B,189210,749.0
55,P,189210,915.0
56,C,190419,653.0
57,P,191099,9168.0
58,C,200509,950.0
59,B,208198,6739.0
60,C,208198,934.0
61,B,210060,928.0
62,C,210060,485.0
63,P,210707,2199.0
64,B,215574,2668.0
65,P,215574,723.0
66,B,217625,1328.0
67,C,217625,9956.0
68,B,227959,378.0
69,C,227959,934.0
70,B,234238,5345.0
71,C,234238,310.0
72,B,235765,1195.0
73,C,235765,263.0
74,P,236049,161.0
75,B,237247,1037.0
76,C,237247,103.0
77,B,237958,608.0
78,C,237958,21045.0
79,B,259662,301.0
80,C,259662,10489.0
