scorer,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000
bodyparts,left-paw,left-paw,left-paw,left-elbow,left-elbow,left-elbow,right-paw,right-paw,right-paw,right-elbow,right-elbow,right-elbow,chest,chest,chest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
12,289.5722961425781,228.87225341796875,1.0,326.2694091796875,212.69541931152344,0.9873375296592712,197.9000701904297,201.89877319335938,1.0,286.7252197265625,212.24691772460938,0.0008311879937537014,240.6618194580078,181.08123779296875,1.0
13,288.0509033203125,232.8435516357422,1.0,322.15753173828125,210.21949768066406,0.9999850988388062,210.8408203125,225.58518981933594,1.0,259.701171875,213.43206787109375,1.0,249.0685577392578,181.33460998535156,1.0
14,279.22216796875,230.1023406982422,1.0,329.1675720214844,208.96434020996094,0.9979727864265442,208.50950622558594,225.68002319335938,1.0,263.8495788574219,209.16282653808594,1.0,259.0267333984375,177.8407745361328,1.0
15,361.8800048828125,226.126953125,1.0,396.6129455566406,201.2318115234375,1.0,205.83871459960938,224.55645751953125,1.0,261.89215087890625,208.99502563476562,1.0,250.84014892578125,168.13002014160156,1.0
16,295.8176574707031,227.48944091796875,0.9976046085357666,356.1436767578125,195.4070587158203,0.987381637096405,121.42703247070312,244.10968017578125,1.0,235.20166015625,209.6615447998047,0.9999997615814209,248.4466094970703,167.18582153320312,0.9994654059410095
17,341.712890625,228.68997192382812,1.0,381.3437194824219,197.15614318847656,1.0,197.68276977539062,232.6102752685547,1.0,257.1740417480469,217.37094116210938,1.0,244.26431274414062,179.03018188476562,1.0
18,289.41741943359375,226.24317932128906,1.0,346.8004150390625,198.73995971679688,1.0,161.00308227539062,235.4967803955078,1.0,226.6277618408203,220.35328674316406,1.0,234.15858459472656,178.22598266601562,1.0
19,309.92254638671875,231.79747009277344,1.0,358.12908935546875,200.2128143310547,1.0,164.64224243164062,238.0170440673828,1.0,227.27621459960938,221.09596252441406,1.0,233.21241760253906,179.45953369140625,1.0
20,316.541015625,228.8016357421875,1.0,363.030517578125,201.4358673095703,1.0,151.16734313964844,240.01988220214844,1.0,230.3060302734375,218.42857360839844,1.0,240.06387329101562,173.45460510253906,1.0
21,363.6014709472656,232.0780029296875,1.0,397.3926086425781,201.34388732910156,1.0,127.55699157714844,250.0521240234375,1.0,215.02235412597656,216.663818359375,1.0,232.57049560546875,167.35377502441406,1.0
22,369.4489440917969,232.44854736328125,0.9999978542327881,405.24127197265625,200.91226196289062,0.9365453124046326,119.29686737060547,252.14776611328125,1.0,216.6171417236328,215.02413940429688,0.9999995231628418,229.625244140625,162.67678833007812,1.0
23,376.05560302734375,231.41725158691406,0.9999996423721313,412.7192687988281,202.20835876464844,0.9239838123321533,121.08274841308594,251.78236389160156,1.0,215.6466064453125,217.52630615234375,0.999997615814209,230.61868286132812,160.12841796875,1.0
24,380.008544921875,230.70767211914062,0.9992731213569641,417.37030029296875,202.6044921875,0.999206006526947,127.77830505371094,249.27674865722656,1.0,217.32058715820312,214.28366088867188,0.9998024106025696,231.95867919921875,157.489990234375,1.0
25,381.8326416015625,230.5313262939453,0.9999998807907104,418.2756652832031,201.01547241210938,0.9999997615814209,124.79104614257812,249.56756591796875,1.0,228.40518188476562,207.3330535888672,0.9999994039535522,233.49246215820312,157.70040893554688,1.0
26,381.9192199707031,231.24130249023438,1.0,418.8207702636719,200.30474853515625,0.9999994039535522,125.39531707763672,248.1988983154297,1.0,228.90966796875,209.77008056640625,0.9999103546142578,235.36392211914062,158.4560546875,1.0
27,373.88995361328125,227.49449157714844,1.0,404.6264953613281,194.69595336914062,0.5514212846755981,126.27538299560547,245.6353759765625,1.0,209.83078002929688,214.16099548339844,0.9999998807907104,232.7097625732422,162.6192169189453,1.0
28,353.7176513671875,230.42213439941406,1.0,391.6162109375,198.0072479248047,1.0,204.55238342285156,230.41567993164062,1.0,259.2437438964844,213.6262664794922,1.0,252.5514678955078,176.39810180664062,1.0
29,346.82763671875,228.05711364746094,1.0,383.69091796875,196.0897674560547,1.0,216.36468505859375,227.80029296875,1.0,267.3987121582031,210.52435302734375,0.6263535022735596,259.4434814453125,178.60601806640625,1.0
30,349.0691833496094,228.6586456298828,1.0,384.36041259765625,195.2682342529297,1.0,216.0620880126953,228.0390625,1.0,266.306396484375,211.6112060546875,0.9999997615814209,259.2378234863281,178.22328186035156,1.0
31,352.13812255859375,229.76515197753906,1.0,384.0899963378906,196.20286560058594,1.0,214.69467163085938,228.4789581298828,1.0,265.237060546875,213.88478088378906,1.0,256.2496337890625,178.2106170654297,1.0
32,353.283447265625,228.7156982421875,1.0,385.0890808105469,195.29141235351562,1.0,215.48269653320312,228.65110778808594,1.0,265.8125305175781,213.61904907226562,1.0,260.9937744140625,178.00765991210938,1.0
33,352.3437194824219,229.5092315673828,1.0,385.4552001953125,198.84957885742188,1.0,215.5591583251953,227.29916381835938,1.0,266.2471923828125,211.82778930664062,1.0,253.749755859375,177.83641052246094,1.0
34,354.208740234375,230.05238342285156,1.0,384.7965087890625,197.6072235107422,1.0,215.38201904296875,228.0523223876953,1.0,266.62860107421875,213.33169555664062,0.999981164932251,255.07521057128906,179.04241943359375,1.0
35,354.8647766113281,230.96109008789062,1.0,384.29541015625,196.5182647705078,1.0,215.78114318847656,229.26763916015625,1.0,266.89227294921875,212.3810272216797,0.9770391583442688,255.21023559570312,179.2226104736328,1.0
36,354.9605407714844,230.45166015625,1.0,383.05303955078125,196.21990966796875,1.0,215.68528747558594,228.39022827148438,1.0,265.41778564453125,213.4730987548828,0.9989916682243347,255.95733642578125,179.5752716064453,1.0
37,354.6110534667969,230.86961364746094,1.0,383.2636413574219,196.58726501464844,1.0,215.01348876953125,228.74818420410156,1.0,267.32769775390625,214.45791625976562,0.0059220739640295506,254.3685760498047,178.6533660888672,1.0
