,start,end,length,delta_x,delta_y,angle
51,43732,45093,1361,2.76484460724231,-6.80098818605795,-22.123498290053103
52,45121,46350,1229,3.7784116661611193,-7.378909454939603,-27.114968876625664
53,46393,46930,537,2.512625110340437,-3.452522041763558,-36.045821169643816
54,46963,47484,521,2.204726579039601,-3.115535653578462,-35.28535159855337
55,47517,49457,1940,3.8355536360835174,-6.462119886222922,-30.691002805049838
56,49511,49599,88,4.681339792999978,-2.4786673675892814,-62.09975589145027
57,49625,50525,900,5.726276993226335,-5.537960520430843,-45.957786448993616
58,50553,51936,1383,0.5516900680841985,-3.734271865617316,-8.403915699647154
59,51966,52756,790,2.8161770617402198,-5.362436064529831,-27.706995022581467
60,52793,53955,1162,3.811840932187323,-6.551804951719731,-30.19084997228471
61,53987,55154,1167,2.6561874218988493,-5.2481772730610174,-26.84470971435142
62,55187,55355,168,-0.44676823552204326,-4.352511214685194,5.860661888876612
63,55383,55904,521,-5.679270896187589,1.3798586131412804,-76.34379725472391
64,55904,57769,1865,3.388858471504193,-7.796646494463417,-23.492460160453785
65,58863,59225,362,5.920477324182059,-3.565455247390503,-58.942627788103884
66,59569,59725,156,-0.555759321110898,-6.447928968197914,4.926257683385432
67,59789,60213,424,-7.015410993426158,3.463419013346993,-63.72503364630889
68,60214,60460,246,4.289125414233979,-5.1722565310926,-39.66742806914515
69,60492,61178,686,4.332621189341879,-5.466282044187125,-38.40064007032482
70,61517,62133,616,4.655718469924594,-5.7249220828663,-39.11928532504307
71,62183,62338,155,6.1322547954572,-5.876770513816794,-46.218746974802514
72,62462,63381,919,6.851386991790136,-6.6403541500645815,-45.89612638572645
73,63420,63759,339,3.2938806388847013,-4.484085573503819,-36.29993626522147
74,63786,64335,549,5.033214329698225,-5.520486769410695,-42.35648746252595
75,64360,64685,325,2.0099581379959233,-4.065530340835593,-26.30733784240702
76,64715,65245,530,1.5470819675021517,-4.543139721368576,-18.805323508048417
77,65281,66255,974,2.7149403733979653,-5.78092650244821,-25.156514425007913
78,66292,66732,440,2.612961850012681,-5.838287315260104,-24.11119996970732
79,66762,67513,751,1.676580050483679,-5.291041819755677,-17.581921598430576
80,67533,69026,1493,3.5581884277628006,-5.56936635751066,-32.57392668318329
81,69325,71466,2141,5.404836267594476,-10.01493280758676,-28.35474865232745
82,71594,72586,992,4.560203249398043,-8.65130141789193,-27.794244609336754
83,72623,73612,989,4.778910710021449,-5.470915699054217,-41.13760405530534
84,73637,74479,842,3.9907541736170344,-6.121960392572831,-33.09933270302594
85,74522,75652,1130,2.1957453489702203,-6.165351257085419,-19.602989796182165
86,75781,76324,543,2.991925908847918,-4.152893703604505,-35.77062466003181
87,76348,77086,738,2.618400029389875,-6.917336366142365,-20.733017907690915
88,77275,77969,694,1.9841820976401578,-6.6733663083238355,-16.558714776780114
89,77998,79019,1021,4.4800731402035865,-7.311397950976442,-31.49796445870799
90,79293,79445,152,2.377683725075798,-5.834685551980414,-22.17131133649434
91,79467,80232,765,0.21312266414815895,-2.992608781836239,-4.073518732645736
92,80265,81867,1602,3.6030953414326774,-5.283740613187163,-34.29091059589753
93,82581,84724,2143,5.872933823179139,-9.518613271280984,-31.674365363300524
94,85389,86748,1359,4.249038828617756,-6.84964985152115,-31.812541461600176
95,86784,86907,123,1.3288443481709464,-5.620575471205939,-13.301898126730014
96,86930,87762,832,2.6069892762018583,-4.9779321044899945,-27.641468572920747
97,87830,88046,216,-11.701770443330261,-6.220266014556785,62.006396792453835
98,88105,88275,170,0.7711643332554416,-8.674312762428016,-5.080356982833963
99,88406,88611,205,2.4100091636058067,-3.7914879302923197,-32.4415403492617
100,88734,89047,313,3.8066307966958703,-3.2317447029292907,-49.669485118156516
101,89107,89532,425,4.50003631544817,-2.9268389790053533,-56.959886671197374
102,89558,89986,428,3.175960832059644,-4.607470187521642,-34.57876236153338
103,90087,90900,813,4.517406473483959,-5.716146699300552,-38.31892106738987
104,90984,91217,233,-11.320455740330033,3.5834968085192145,-72.43478661265227
105,91217,91366,149,3.78108019707733,-4.727093565321894,-38.65541307635036
106,91441,91624,183,3.1236065238653907,-2.2614539424247226,-54.09590904877636
107,91657,92166,509,0.6599471096967306,-7.3755575950835635,-5.11307171981083
108,92287,92560,273,-2.73997454082253,-5.57228056195116,26.184042673323827
109,92902,93182,280,-16.13811843952132,6.950213825823582,-66.69987423350165
110,93594,93943,349,6.972354202212529,-5.403380265560514,-52.22531293637169
111,94054,94200,146,-6.783924861812267,0.9949815626679168,-81.65605950048344
112,94375,94477,102,-11.911135190029512,0.3748148423434401,-88.19763405612997
113,94478,94581,103,5.932731048256315,-5.69491628369488,-46.17168009041454
114,95395,95555,160,3.9031917116788435,-5.9669820073376485,-33.189968544130735
115,95667,96213,546,2.7366699939808967,-8.3268936344042,-18.19333481340726
116,96255,96793,538,3.1162932797800806,-9.075519869663566,-18.951114817410048
117,96829,96982,153,4.868775641399083,-3.5328654272718722,-54.03473041273768
118,97012,97395,383,-15.103481879502965,-0.19457813847876082,89.26189937578512
119,97812,98037,225,-0.9455470127416135,-4.015932457394172,13.248924574671594
120,98075,98127,52,-8.120766807199445,2.2274447272931326,-74.66157811383599
121,98284,98470,186,-14.711626365385797,6.2177713780878605,-67.08897218533325
122,101123,101393,270,-13.426140984727965,-2.3617089910775917,80.02351799024046
123,101452,101685,233,-20.676871498483195,-2.8201719234227625,82.23320571405996
124,101755,101935,180,-32.18935662149205,-1.098744423585984,88.0450374721804
125,102017,102189,172,-24.094973968229567,-3.558125482786508,81.59979221945193
126,103810,105069,1259,4.143441951321066,-8.707976759019928,-25.44610625378068
127,107076,107180,104,-17.241716934307917,-8.205545270668168,64.54964828328522
128,107286,107742,456,-16.600051415974164,1.7717464252117452,-83.90780568117707
129,107888,108349,461,-15.475190581681758,-7.659605466819357,63.666415541361836
130,110061,110141,80,-4.158704873638612,-3.1818398739450515,52.58026879410754
131,110156,110354,198,-2.923191728863017,-4.53588689783507,32.800107976303416
132,110404,110680,276,-22.1857743280148,-9.245407198930963,67.37719839382264
133,111076,111140,64,6.828843902208888,-3.4916609344033134,-62.91885364809043
134,111160,111625,465,-8.142379707688576,-1.0094837978276416,82.93259192799434
135,111737,113154,1417,-7.462383192326556,2.860034953585739,-69.03015684897838
136,113155,114829,1674,4.457141417656246,-9.632698927594674,-24.830429398074
137,114899,114953,54,4.011712455610848,-5.4888193092760815,-36.16262318078442
138,114976,115508,532,0.6161726576526831,-9.00700941054275,-3.9135268056053882
139,115541,116084,543,3.6919291882316685,-6.693942034339756,-28.878180468583356
140,119296,119342,46,3.1441113424682356,-0.9010096570909951,-74.0092577053982
141,119371,120575,1204,-4.269745708794304,-1.513957097910378,70.47662273787469
142,120575,121618,1043,4.620071386965066,-8.067992825485717,-29.797263695498884
143,121665,121732,67,2.358461771895989,-5.708523577046208,-22.447840516553107
144,121758,122584,826,-7.171362985312157,0.7101449241928037,-84.34471689285826
145,122584,124055,1471,5.0263085764256346,-6.87241487583276,-36.180783460214904
146,124085,124160,75,3.688869278642656,-4.380602784417505,-40.10045311523572
147,124196,126254,2058,-5.700073379340765,-2.2266324259182255,68.6627808606573
148,127146,127243,97,1.763592003751171,-5.270414580659889,-18.501329159715727
149,127276,128976,1700,-5.872234974645082,2.761447841436876,-64.81450985348997
150,128977,129263,286,4.067034869755602,-5.57339803149226,-36.11907675382788
151,129280,129479,199,-0.7288847861796768,-2.9563826712829098,13.84984264012214
152,129585,130062,477,6.757286037066876,-8.448494088279276,-38.65356668506794
153,130082,130166,84,3.2358312961878113,-1.259825587785457,-68.7272459826623
154,130194,130256,62,1.7341667245662364,-4.239458188459153,-22.24720506562428
155,130321,130672,351,-8.740516093766772,3.4228341250123293,-68.6144160007941
156,130672,131558,886,8.295065493635065,-7.2744588756898025,-48.7504619756922
157,132432,132588,156,6.118317018887581,-4.478036984166835,-53.799354534835864
158,132607,132751,144,2.3621150900161183,-3.9077788830553857,-31.151488070798678
159,132949,133073,124,3.8472168816468297,-5.101290744034159,-37.02233413669331
160,133150,133299,149,-6.645880009965239,-0.848046396903186,82.72808132437044
161,133506,134128,622,-3.778842126938116,3.8521732813709804,-44.44942630734034
162,134128,134645,517,4.884921177666442,-6.635555343451756,-36.35952231888709
163,134679,135520,841,5.146264103855401,-4.231363103477179,-50.57226160129444
164,135560,136244,684,5.413526952509486,-5.149628128510599,-46.43112016524062
165,136281,136349,68,3.449615250192906,-4.820700210465375,-35.58689792320168
166,136378,137043,665,-0.840915092235548,-0.3875002470879281,65.25938039526767
167,138036,138709,673,7.115541268808727,-4.5560757257528905,-57.36859508442829
168,138732,139530,798,6.557249460442122,-5.4734577929127255,-50.147621063339514
169,141806,142748,942,6.3834115618835625,-6.557844938984829,-44.22776500674478
170,143651,143791,140,3.7354218544139,-6.242707799522705,-30.894852566930403
171,143820,144065,245,-1.0548349073000338,-4.071195640121985,14.525747854822793
172,144097,144355,258,5.584180049738237,-6.822043162934122,-39.30202385009552
173,144388,144561,173,-3.773083841919359,0.42921607241656545,-83.51008196736792
174,144594,145436,842,-5.022751260601595,2.1381686876149644,-66.94070510040443
175,145437,146428,991,6.444943065263402,-5.773097887539279,-48.147408481150826
176,146477,146546,69,4.932819165579289,-4.109273678735519,-50.20408851661804
177,146568,147377,809,8.314292275114795,-6.638665068508516,-51.3938859342396
178,147410,147515,105,5.8285112398503,-5.013791297010798,-49.297283910901214
179,147549,147988,439,-8.543104433183345,-1.0373370007547749,83.07681523019276
180,150949,152263,1314,3.050733934644356,-5.566895117312441,-28.723338173496543
181,152319,153724,1405,2.267263313341985,-5.801798138671458,-21.344877896874948
182,153750,154338,588,2.96011372198204,-4.833018329804773,-31.486521013307527
