,start,end,length,delta_x,delta_y,angle
126,163533,164336,803,5.3053002629813335,-4.954512606966603,-46.95820589026324
127,164375,164974,599,2.5843229884495997,-5.266957988374287,-26.135667484970853
128,165038,165873,835,1.9014130374763454,-2.929257376120802,-32.98804363841491
129,166925,167794,869,6.196317905214798,-4.4609985944278066,-54.24824604201631
130,167855,168872,1017,4.257589509322841,-5.596151651322799,-37.264119539747306
131,169116,169248,132,5.560641060000577,-6.53485614763234,-40.39513122594438
132,169279,169557,278,-13.075942175374962,3.728576977207581,-74.08461284936075
133,169742,169885,143,0.37341319311940424,-3.2525057071039214,-6.549330578775968
134,169911,171232,1321,-3.884200095702681,3.6480187797887567,-46.795986077286344
135,171232,171475,243,2.248552881369463,-7.27223949658206,-17.181439310027226
136,172935,173764,829,2.3736320166169946,-6.05459753533907,-21.4070642500282
137,173801,173929,128,2.7747243497494054,-4.860827082513495,-29.719184827585035
138,175289,175460,171,1.6061744314416018,-6.93388435150716,-13.042050739133662
139,177101,177295,194,2.3733879813687366,-5.393311536149426,-23.752439609029604
140,178186,179145,959,4.3540675590936075,-5.694281682782844,-37.402923939646676
141,180110,180163,53,5.615067949248228,-0.8946198719941236,-80.94744458820631
