,start,end,length,delta_x,delta_y,angle,interval
0,924,1142,218,-6.97476867641862,-0.4750873277048413,3.8966908843298285,924
1,1418,1710,292,-14.616283043479939,-1.959000154998705,7.633780596698243,276
2,2144,3478,1334,-14.843196516104655,-3.922646797064317,14.8032657710814,434
3,3562,4303,741,-12.17500842678659,-3.3942385945485114,15.577798792992038,84
4,4411,4960,549,-10.02778783240285,-2.1618291072083196,12.16585046414464,108
5,5006,5066,60,-1.8497979939082825,-1.1765361349178818,32.45778522494378,46
6,5089,5256,167,-6.653209633838074,-2.817846761656213,22.954209203588157,23
7,5280,5377,97,-3.700583030028156,0.5063515484954166,-7.791408986387903,24
8,5404,6330,926,-15.140815212599534,-0.7259261757512689,2.7449433563224876,27
9,6379,6489,110,-3.203817365458832,-0.4268437674038381,7.5888117297037825,49
10,6507,7079,572,-9.035073866448144,-2.022589976125815,12.618188471697671,18
11,7120,7173,53,-2.232945425472664,-0.3074411969662094,7.839431594005921,41
12,7191,8201,1010,-17.97512027639857,-0.42939002048208863,1.3684224366498756,18
13,8252,8885,633,-8.029008625236457,-0.2820312308348605,2.011774896870734,51
14,8992,10230,1238,-18.1636469846308,-1.7330468038012867,5.4502591977237556,107
15,10301,10964,663,-6.597927180297518,-0.2499782091191065,2.1697494785205826,71
16,11009,11888,879,-7.154902954703246,-1.4859310938550152,11.732414648338933,45
17,12086,12399,313,-9.922977296331226,-3.5100786893774227,19.480337586973206,198
18,12544,13858,1314,-14.662025915520758,0.18091486138983726,-0.7069372306091383,145
19,13922,14164,242,-3.0449055202548436,-1.2235847957622639,21.892558137101016,64
20,14194,14904,710,-7.655256762624731,-1.8339544061638833,13.472326232152623,30
21,14958,15116,158,-2.253568715632113,-0.7917905306632207,19.358906301866586,54
22,15152,15747,595,-8.7260291546404,-1.6890381880310485,10.95488110187682,36
23,15781,15900,119,-1.022557913247411,-0.0666682831431018,3.7302656850330953,34
24,15927,16616,689,-9.706748695993355,-2.1767462392503205,12.63951980204637,27
25,16786,17962,1176,-11.884059561804605,-1.6778868567292875,8.036359594284392,170
26,17995,18416,421,-3.4040292255039475,-0.014771326943915142,0.24862576773029776,33
27,18450,19062,612,-6.182291004035463,0.12473508148542578,-1.1558537424685702,34
28,19097,19493,396,-3.905690166871622,-1.0685126608623818,15.30050143110835,35
29,19530,20006,476,-6.900394898562695,-1.0671685784345755,8.791331428196735,37
30,20038,20787,749,-7.560730544001046,-1.5224476969123373,11.384976424136767,32
31,20811,21566,755,-5.365589030437334,0.06073958992288908,-0.6485725029872478,24
32,22918,23140,222,-12.935718431004744,-7.254749455758386,29.285051284369363,1352
33,23397,24932,1535,-32.26107807180898,0.05930706015514886,-0.10532941294593486,257
34,25139,26095,956,-12.142980047982519,-0.2579202802652958,1.216795360731188,207
35,27115,28190,1075,-14.432608125371871,3.3785398219596345,-13.17517056416421,1020
36,28260,28898,638,-6.4554715367016655,-0.6912421544872984,6.111857520277826,70
37,28945,29489,544,-3.618312462471465,-0.6541993525751337,10.248495358706641,47
38,29549,30038,489,-3.747132024882859,0.021813561502014522,-0.3335379922241454,60
39,30252,31142,890,-10.546113844171344,-2.263220007527039,12.112097177910305,214
40,31185,31540,355,-3.7457731548163906,-0.2812348920908363,4.293745451502595,43
