,category,start,length
0,C2,76,195.0
1,P,321,316.0
2,B,3381,2744.0
3,P,3381,376.0
4,C2,3875,6506.0
5,B,13362,2490.0
6,C2,13362,4918.0
7,B,20232,1595.0
8,C1,20232,2591.0
9,C2,22890,388.0
10,P,23351,1534.0
11,B,28029,3144.0
12,C1,28029,719.0
13,B,31729,2981.0
14,C2,31729,1289.0
15,B,49721,16703.0
16,C2,49721,1067.0
17,B,66119,15331.0
18,C2,66119,2947.0
19,B,78858,9792.0
20,C2,78858,1027.0
21,C1,79961,333.0
22,B,83307,3013.0
23,C1,83307,2038.0
24,B,85897,552.0
25,C2,85897,7445.0
26,C1,93511,4197.0
27,B,102370,4557.0
28,C2,102370,5098.0
29,B,113291,5823.0
30,C1,113291,4655.0
31,B,123098,5088.0
32,C1,123098,2796.0
33,B,134475,8581.0
34,C1,134475,10114.0
35,C2,144948,3437.0
36,B,153399,5014.0
37,C1,153399,2017.0
38,B,160646,5230.0
39,C1,160646,2120.0
40,C2,162835,5015.0
41,C1,167953,6139.0
42,B,184299,10132.0
43,C1,184299,3105.0
44,B,194385,6981.0
45,C2,194385,1258.0
46,C1,195714,6721.0
47,B,213377,10867.0
48,C1,213377,31104.0
49,B,248087,2746.0
50,P,248087,1302.0
