,0,1
0,C,178.0
1,P,115.0
2,C,118.0
3,P,224.0
4,C,80.0
5,P,73.0
6,C,44.0
7,P,174.0
8,C,150.0
9,B,551.0
10,P,812.0
11,C,72.0
12,P,142.0
13,B,899.0
14,C,786.0
15,B,363.0
16,C,418.0
17,P,270.0
18,B,457.0
19,C,1033.0
20,B,388.0
21,C,577.0
22,B,523.0
23,P,1523.0
24,B,1892.0
25,C,2766.0
26,P,2694.0
27,C,377.0
28,P,142.0
29,C,298.0
30,P,344.0
31,C,270.0
32,B,431.0
33,C,477.0
34,B,502.0
35,C,955.0
36,P,516.0
37,C,195.0
38,P,110.0
39,B,933.0
40,C,799.0
41,P,341.0
42,C,6189.0
43,B,565.0
44,C,118.0
45,B,422.0
46,P,115.0
47,C,162.0
48,B,373.0
49,P,619.0
50,B,494.0
51,P,211.0
52,C,2674.0
53,B,500.0
54,P,95.0
55,C,106.0
56,B,323.0
57,C,365.0
58,P,455.0
59,C,171.0
60,B,654.0
61,C,327.0
62,B,325.0
63,C,7921.0
64,P,67.0
65,C,1349.0
66,B,5961.0
67,C,10319.0
68,B,725.0
69,C,178.0
70,B,1500.0
71,P,1735.0
72,C,6866.0
73,B,1222.0
74,C,14043.0
75,P,89.0
76,C,1717.0
77,P,63.0
78,C,150.0
79,B,880.0
80,P,249.0
81,C,565.0
82,B,3596.0
83,C,42036.0
84,P,684.0
85,B,1508.0
86,C,13604.0
87,B,854.0
88,C,1119.0
89,B,2035.0
90,C,170.0
91,B,368.0
92,C,1323.0
93,B,776.0
94,C,88.0
95,B,5941.0
96,C,2511.0
97,P,232.0
98,C,4978.0
99,B,428.0
100,C,1651.0
101,B,2406.0
102,C,68.0
103,P,128.0
104,C,1080.0
105,B,512.0
106,C,326.0
107,P,697.0
108,C,742.0
109,B,379.0
110,C,3191.0
111,B,1398.0
112,C,2348.0
113,B,311.0
114,C,1166.0
115,B,342.0
116,C,267.0
117,B,1073.0
118,C,7376.0
119,B,4268.0
120,C,7844.0
121,P,60.0
122,C,554.0
123,B,782.0
124,C,502.0
125,B,1114.0
126,C,4693.0
127,B,514.0
128,C,304.0
129,B,397.0
130,C,1176.0
131,B,338.0
132,C,27529.0
