,category,start,length
0,B,1670,1670.0
1,P,1670,669.0
2,C,2519,212.0
3,B,4280,1549.0
4,P,4280,907.0
5,C,5514,802.0
6,P,6704,273.0
7,C,7223,396.0
8,B,8095,476.0
9,P,8095,1411.0
10,B,9945,439.0
11,P,9945,1886.0
12,B,12724,835.0
13,P,12724,759.0
14,B,16268,2510.0
15,P,16268,2232.0
16,B,25053,6553.0
17,C,25053,2852.0
18,B,31191,3157.0
19,P,31191,2779.0
20,B,34872,902.0
21,P,34872,5540.0
22,B,41306,894.0
23,C,41306,994.0
24,B,53510,11210.0
25,P,53510,223.0
26,B,56010,2277.0
27,C,56010,2369.0
28,B,69736,11357.0
29,C,69736,2144.0
30,B,75666,3786.0
31,C,75666,5077.0
32,B,104243,23500.0
33,P,104243,2708.0
34,B,117145,10194.0
35,C,117145,4282.0
36,B,127618,6191.0
37,C,127618,1937.0
38,B,140942,11387.0
39,C,140942,5682.0
40,B,153916,7231.0
41,C,153916,1204.0
42,B,159900,4780.0
43,C,159900,2044.0
44,B,163671,1727.0
45,C,163671,1152.0
46,B,171302,6479.0
47,C,171302,1693.0
48,B,179474,6479.0
49,C,179474,2402.0
50,B,183483,1607.0
51,C,183483,352.0
52,B,186152,2317.0
53,C,186152,6177.0
54,B,206084,13695.0
55,P,206084,4265.0
56,B,219187,8838.0
57,C,219187,2837.0
58,B,229265,7241.0
59,P,229265,1362.0
60,B,233693,3066.0
61,P,233693,379.0
62,B,234650,578.0
63,P,234650,591.0
64,C,235351,571.0
65,B,242267,6345.0
66,C,242267,593.0
67,B,255971,13111.0
68,C,255971,372.0
69,P,256428,558.0
70,B,262888,5902.0
71,P,262888,515.0
72,B,268934,5531.0
73,C,268934,1504.0
