,category,start,length
0,C2,239,220.0
1,P,483,786.0
2,B,1924,582.0
3,P,1924,4726.0
4,B,7974,779.0
5,P,7974,1951.0
6,B,10362,437.0
7,P,10362,1035.0
8,C1,11478,6197.0
9,B,18224,549.0
10,C1,18224,5218.0
11,P,23670,6855.0
12,C2,30696,1743.0
13,B,36192,3674.0
14,P,36192,2681.0
15,B,39213,340.0
16,P,39213,2702.0
17,C2,42117,970.0
18,C1,43155,2797.0
19,B,56125,10173.0
20,P,56125,1408.0
21,C1,57724,506.0
22,B,58792,562.0
23,P,58792,1127.0
24,B,60248,329.0
25,C1,60248,9770.0
26,B,70656,412.0
27,P,70656,7313.0
28,C1,78342,6187.0
29,B,85058,529.0
30,P,85058,4334.0
31,B,89914,522.0
32,C1,89914,2648.0
33,P,92628,1175.0
34,C1,94046,4767.0
35,P,98899,2579.0
36,B,106851,5373.0
37,C1,106851,3648.0
38,P,110637,10149.0
39,B,124455,3501.0
40,C2,124455,1147.0
41,B,128027,2425.0
42,C1,128027,15282.0
43,P,143714,3113.0
44,C2,146938,1034.0
45,C1,148056,10727.0
46,B,159457,674.0
47,P,159457,14644.0
48,B,193421,19175.0
49,C1,193421,15257.0
50,P,208931,16866.0
51,B,227217,1420.0
52,C1,227217,10375.0
53,C2,237761,4394.0
54,B,253336,11181.0
55,C2,253336,3916.0
56,P,257481,3067.0
